TransactionDate,IssuingInstitution,Notifiable,LastName
2026-03-16,CEG N.V.,Bayoglu U.,Bayoglu
2026-03-13,BE Semiconductor Industries N.V.,Hendriks R.,Hendriks
2026-03-13,Coca-Cola Europacific Partners plc,Vuillod V.,Vuillod
2026-03-13,Coca-Cola Europacific Partners plc,Lusk S.,Lusk
2026-03-13,Coca-Cola Europacific Partners plc,Gammell D.,Gammell
2026-03-13,Coca-Cola Europacific Partners plc,Echeverría J.A.,Echeverría
2026-03-13,Pharming Group N.V.,"Outersterp, van R.",van R.
2026-03-13,Coca-Cola Europacific Partners plc,Vermeulen A.,Vermeulen
2026-03-13,Coca-Cola Europacific Partners plc,Moorhouse S.,Moorhouse
2026-03-13,Coca-Cola Europacific Partners plc,"Hollander, den L.",den L.
2026-03-13,Coca-Cola Europacific Partners plc,Callol A.,Callol
2026-03-13,SWI Capital Holding Limited,George M-H.,George
2026-03-13,Coca-Cola Europacific Partners plc,Faure F.,Faure
2026-03-13,Pharming Group N.V.,Breidenbach A.,Breidenbach
2026-03-13,Coca-Cola Europacific Partners plc,Galvin J.,Galvin
2026-03-13,Coca-Cola Europacific Partners plc,Wardle C.,Wardle
2026-03-13,Pharming Group N.V.,Relan A.,Relan
2026-03-13,Pharming Group N.V.,Sanders M.,Sanders
2026-03-13,Coca-Cola Europacific Partners plc,Walker E.,Walker
2026-03-12,Shell Plc,Bounds P.,Bounds
2026-03-12,Add Value Fund N.V.,Westerling,Westerling
2026-03-12,SWI Capital Holding Limited,George M-H.,George
2026-03-11,Aegon Ltd.,Waters D.,Waters
2026-03-11,SWI Capital Holding Limited,George M-H.,George
2026-03-11,Aegon Ltd.,Keim M.,Keim
2026-03-11,NEPI Rockcastle N.V.,Summit Place 20 CC (trading as Foxhole Capital),Foxhole Capital
2026-03-11,NEPI Rockcastle N.V.,Summit Place 20 CC (trading as Foxhole Capital),Foxhole Capital
2026-03-11,Aegon Ltd.,Bareggi M.,Bareggi
2026-03-11,Aegon Ltd.,Fuller W.,Fuller
2026-03-11,NEPI Rockcastle N.V.,"Veer, Van der A.",Van der A.
2026-03-11,NEPI Rockcastle N.V.,"Veer, Van der A.",Van der A.
2026-03-11,Aegon Ltd.,Holliday-Williams M.,Holliday-Williams
2026-03-11,Aegon Ltd.,Johnson S.,Johnson
2026-03-11,Aegon Ltd.,"Klinken, van J.O.",van J.O.
2026-03-10,SWI Capital Holding Limited,George M-H.,George
2026-03-10,NEPI Rockcastle N.V.,Summit Place 20 CC (trading as Foxhole Capital),Foxhole Capital
2026-03-10,NEPI Rockcastle N.V.,Summit Place 20 CC (trading as Foxhole Capital),Foxhole Capital
2026-03-10,Fugro N.V.,Schallenberg N.,Schallenberg
2026-03-10,Icecat N.V.,Icecat International B.V.,Icecat
2026-03-09,NEPI Rockcastle N.V.,Summit Place 20 CC (trading as Foxhole Capital),Foxhole Capital
2026-03-09,RHI Magnesita N.V.,Oremovic S.,Oremovic
2026-03-09,Universal Music Group N.V.,Hu J.L.,Hu
2026-03-09,RHI Magnesita N.V.,Kobel T.,Kobel
2026-03-09,RHI Magnesita N.V.,Franco G.,Franco
2026-03-09,RHI Magnesita N.V.,Jayendran R.,Jayendran
2026-03-06,Unilever Plc,Ecclissato R.,Ecclissato
2026-03-06,Unilever Plc,Nair P.,Nair
2026-03-06,Unilever Plc,Kakkad,Kakkad
2026-03-06,NEPI Rockcastle N.V.,Summit Place 20 CC (trading as Foxhole Capital),Foxhole Capital
2026-03-06,Unilever Plc,Nayager M.,Nayager
